,Date,Open,High,Low,Close,Adj Close,Volume
218,"Apr 12, 2022",220.24,222.03,213.13,214.14,214.14,"20,128,800"
219,"Apr 11, 2022",218.42,220.61,215.22,216.46,216.46,"20,516,600"
220,"Apr 08, 2022",222.38,225.13,220.03,222.33,222.33,"18,375,700"
221,"Apr 07, 2022",223.93,225.52,218.56,222.95,222.95,"21,037,200"
222,"Apr 06, 2022",226.91,228.99,221.41,223.30,223.30,"28,995,100"
223,"Apr 05, 2022",234.08,236.86,231.02,231.84,231.84,"29,727,200"
224,"Apr 04, 2022",225.98,234.35,225.86,233.89,233.89,"28,054,800"
225,"Apr 01, 2022",224.55,227.28,222.70,224.85,224.85,"19,544,800"
226,"Mar 31, 2022",228.45,228.49,222.26,222.36,222.36,"24,192,300"
227,"Mar 30, 2022",228.91,231.15,226.71,227.85,227.85,"25,588,000"
228,"Mar 29, 2022",226.07,230.89,225.29,229.86,229.86,"31,417,900"
229,"Mar 28, 2022",222.13,224.04,219.54,223.59,223.59,"26,224,100"
230,"Mar 25, 2022",220.51,225.50,218.89,221.82,221.82,"40,039,000"
231,"Mar 24, 2022",215.00,220.67,214.79,219.57,219.57,"31,502,300"
232,"Mar 23, 2022",213.33,216.80,212.16,213.46,213.46,"23,717,300"
233,"Mar 22, 2022",211.37,219.46,210.18,216.65,216.65,"31,998,800"
234,"Mar 21, 2022",214.50,214.71,207.63,211.49,211.49,"30,142,300"
235,"Mar 18, 2022",206.70,216.80,206.00,216.49,216.49,"52,128,000"
236,"Mar 17, 2022",201.70,208.04,201.11,207.84,207.84,"29,499,700"
237,"Mar 16, 2022",194.70,203.73,194.52,203.63,203.63,"40,640,300"
238,"Mar 15, 2022",190.80,192.28,185.91,192.03,192.03,"31,721,700"
239,"Mar 14, 2022",187.03,192.29,185.82,186.63,186.63,"31,010,500"
240,"Mar 11, 2022",192.64,193.56,186.67,187.61,187.61,"34,694,500"
241,"Mar 10, 2022",194.84,196.28,191.07,195.21,195.21,"24,853,000"
242,"Mar 09, 2022",195.74,199.10,193.92,198.50,198.50,"31,894,700"
243,"Mar 08, 2022",187.85,196.70,186.11,190.29,190.29,"37,508,100"
244,"Mar 07, 2022",200.79,200.89,187.28,187.47,187.47,"38,560,600"
245,"Mar 04, 2022",202.37,205.89,198.79,200.06,200.06,"32,130,900"
246,"Mar 03, 2022",209.02,209.08,201.42,202.97,202.97,"27,263,500"
247,"Mar 02, 2022",204.78,209.15,202.02,208.11,208.11,"29,452,100"
248,"Mar 01, 2022",209.87,211.75,202.22,203.49,203.49,"27,094,900"
249,"Feb 28, 2022",207.68,213.15,206.83,211.03,211.03,"34,239,800"
250,"Feb 25, 2022",204.94,211.32,203.18,210.48,210.48,"37,627,600"
251,"Feb 24, 2022",191.06,208.35,190.22,207.60,207.60,"49,957,200"
252,"Feb 23, 2022",204.16,206.94,198.05,198.45,198.45,"44,481,400"
253,"Feb 22, 2022",202.34,207.48,200.06,202.08,202.08,"39,852,400"
254,"Feb 18, 2022",209.39,210.75,205.18,206.16,206.16,"37,128,400"
255,"Feb 17, 2022",214.02,217.50,207.16,207.71,207.71,"38,747,500"
256,"Feb 16, 2022",212.41,217.46,212.36,216.54,216.54,"45,817,500"
257,"Feb 15, 2022",220.47,221.15,215.06,221.00,221.00,"42,685,500"
258,"Feb 14, 2022",219.31,221.00,214.78,217.70,217.70,"38,184,000"
259,"Feb 11, 2022",228.46,230.42,218.77,219.55,219.55,"46,156,900"
260,"Feb 10, 2022",228.27,235.00,226.70,228.07,228.07,"49,310,400"
261,"Feb 09, 2022",224.20,233.37,222.21,232.00,232.00,"86,563,300"
262,"Feb 08, 2022",220.85,225.77,216.15,220.18,220.18,"94,729,700"
263,"Feb 07, 2022",237.70,238.30,224.01,224.91,224.91,"88,613,800"
264,"Feb 04, 2022",234.97,242.61,230.11,237.09,237.09,"89,342,200"
265,"Feb 03, 2022",244.65,248.00,235.75,237.76,237.76,"188,119,900"
266,"Feb 02, 2022",327.82,328.00,316.87,323.00,323.00,"58,458,300"
267,"Feb 01, 2022",314.56,319.66,312.12,319.00,319.00,"18,023,800"
